Season,team,squad_size,squad_price_total,squad_price_top11,bench_price,squad_ppg,gk_price,def_price,mid_price,fwd_price
2026-27,Hull,43,165.5,55.5,41.0,1.0,4.5,4.0,5.0,4.833333333333333
2026-27,Ipswich,36,159.5,58.0,43.5,3.090909090909091,4.5,4.0,5.5,5.166666666666667
2026-27,Leeds,31,135.5,61.0,43.5,3.8181818181818183,5.0,4.7,5.9,5.5
2026-27,Liverpool,36,189.0,74.0,48.0,3.6363636363636362,5.5,5.6,6.8,7.0
2026-27,Man City,32,177.9,84.4,50.5,2.4545454545454546,5.5,5.9,7.5,15.5
2026-27,Man United,34,184.4,76.4,45.0,1.0,5.0,5.0,8.2,5.666666666666667
2026-27,Newcastle,29,144.5,63.5,45.0,2.272727272727273,5.0,5.0,5.9,6.0
2026-27,Nott'm Forest,30,154.5,64.5,46.5,1.3636363636363635,5.0,5.4,6.1,5.833333333333333
2026-27,Sunderland,30,137.0,59.5,43.5,1.5454545454545454,5.0,5.0,5.5,5.75
2026-27,Tottenham,40,206.4,69.0,48.5,0.9090909090909091,4.5,5.3,6.4,6.333333333333333
